Date,TATASTEEL,ONGC,ITC,TATAMOTORS,HINDALCO,COALINDIA,RELIANCE,NTPC,POWERGRID,SUNPHARMA
2017-01-16,458.45,198.35,248.8,526.4,172.6,313.8,1076.25,170.65,199.4,643.5
2017-01-17,454.25,194.8,251.95,523.7,171.05,307.0,1041.25,175.7,197.75,649.7
2017-01-18,468.35,198.0,250.85,522.45,177.0,308.7,1032.55,172.75,198.45,649.95
2017-01-19,467.15,200.85,254.15,531.45,176.1,307.35,1033.7,174.15,201.8,643.45
2017-01-20,454.5,197.3,255.4,523.2,171.65,303.7,1025.8,170.45,199.4,641.55
2017-01-23,461.8,199.9,259.65,532.7,181.7,303.4,1015.9,169.6,200.2,633.65
2017-01-24,464.25,201.6,259.85,541.55,187.15,309.45,1027.3,172.35,203.35,641.4
2017-01-25,469.5,204.9,265.5,548.9,190.75,317.2,1017.3,171.35,203.1,635.85
2017-01-27,469.3,204.5,257.4,541.95,190.75,317.75,1025.1,177.5,204.55,640.5
2017-01-30,462.05,201.85,256.1,532.3,191.5,314.7,1044.8,175.7,205.7,644.75
2017-01-31,463.05,202.55,258.1,523.55,189.95,309.2,1045.2,172.35,207.2,631.5
2017-02-01,474.6,200.2,269.7,542.25,198.85,313.05,1049.65,170.9,205.8,625.55
2017-02-02,476.95,200.85,274.3,531.5,193.3,320.45,1043.5,172.55,203.95,641.4
2017-02-03,472.8,200.95,273.05,522.6,191.75,326.15,1033.65,171.95,201.7,647.25
2017-02-06,473.4,199.0,276.8,525.85,190.1,325.05,1041.65,173.6,201.1,675.15
2017-02-07,472.8,193.3,277.1,506.8,185.9,315.05,1030.9,173.0,199.9,669.6
2017-02-08,470.65,194.4,274.8,513.05,189.0,321.75,1025.15,171.9,201.1,662.2
2017-02-09,459.85,192.9,277.65,512.85,183.7,322.15,1032.75,168.2,202.15,655.5
2017-02-10,468.2,193.65,273.35,509.55,182.05,324.5,1030.15,170.35,199.9,655.05
2017-02-13,472.6,192.25,270.6,505.3,185.0,320.9,1029.85,172.5,203.05,654.7
2017-02-14,472.4,195.7,270.8,482.05,187.25,320.2,1049.8,170.85,200.85,649.3
2017-02-15,460.1,194.95,273.4,436.45,184.45,319.95,1051.3,169.05,201.45,623.05
2017-02-16,469.95,194.1,266.65,446.0,187.75,318.3,1067.5,170.3,201.15,649.3
2017-02-17,468.2,194.4,268.15,452.95,183.65,316.25,1075.5,169.75,202.55,675.5
2017-02-20,487.05,195.3,266.05,455.45,183.3,319.9,1075.4,171.8,206.45,679.65
2017-02-21,490.95,196.25,263.15,458.65,182.45,319.6,1088.2,172.5,206.15,673.2
2017-02-22,484.05,195.6,263.45,460.05,180.05,328.35,1207.5,166.7,201.6,670.35
2017-02-23,485.75,196.0,265.65,462.35,182.1,327.7,1182.75,165.5,199.15,674.55
2017-02-27,480.6,194.7,264.6,457.8,180.75,329.95,1238.9,165.4,192.75,674.45
2017-02-28,482.7,193.55,262.2,456.75,184.35,321.9,1238.05,162.95,192.15,679.0
